id,descricao,unidade,quantidade,unitario,total
1241,CAPACITOR CELULA MONO,PC,5,22.92,114.60
1242,"CAPACITOR CELULA MONO 0,83KVAR/440V",PC,0,33.90,0.00
1243,CAPACITOR CELULA MONO,PC,0,29.90,0.00
1244,CAPACITOR CELULA MONO,PC,0,42.60,0.00
1245,CAPACITOR CELULA MONO,PC,0,22.81,0.00
1246,"CAPACITOR CELULA MONO 1,67KVAR/440",PC,0,32.50,0.00
1247,CAPACITOR CELULA MONO,PC,3,28.31,84.93
1248,CAPACITOR CELULA MONO,PC,0,50.87,0.00
1249,CAPACITOR CELULA MONO,PC,4,72.72,290.88
1250,CAPACITOR CELULA MONO,PC,2,32.63,65.26
1251,CAPACITOR CELULA MONO,PC,0,58.88,0.00
1252,"CAPACITOR CELULA MONO 3,34KVAR/440",PC,0,36.72,0.00
1253,CAPACITOR CELULA MONO 5,PC,0,71.87,0.00
1254,CAPACITOR CELULA MONO 5 KVAR/440,PC,0,52.73,0.00
1255,CAPACITOR CELULA TRI 15KVR/220VCA,PC,1,411.16,411.16
1256,"CAPACITOR CELULA TRI 7,5 KVAR/226VCA",PC,0,231.70,0.00
1257,CAPACITOR CELULA TRI FP,PC,0,227.24,0.00
1258,CAPACITOR CELULA TRI FP 10KVAR/440V,PC,0,176.28,0.00
1259,CAPACITOR CELULA TRI FP BANCO TRIF 15,PC,0,323.21,0.00
1260,CAPACITOR CELULA TRI FP BANCO TRIF 15,PC,1,218.99,218.99
1261,CAPACITOR CELULA TRI OLEO 25KVAR/220V,PC,0,656.40,0.00
1262,"CAPACITOR CELULA TRIF 0,5 KVAR/226,",PC,0,43.80,0.00
1263,"CAPACITOR CELULA TRIF 1,0KVAR/220",PC,1,43.80,43.80
1264,"CAPACITOR CELULA TRIF 1,5KVAR/220VCA",PC,0,83.42,0.00
1265,"CAPACITOR CELULA TRIF 10,0",PC,1,265.43,265.43
1266,"CAPACITOR CELULA TRIF 10,0 KVAR/380,",PC,1,137.91,137.91
1267,"CAPACITOR CELULA TRIF 12,5 KVAR/380",PC,0,209.44,0.00
1268,"CAPACITOR CELULA TRIF 2,0",PC,0,114.60,0.00
1269,"CAPACITOR CELULA TRIF 2,5 KVAR/226,",PC,0,87.84,0.00
1270,"CAPACITOR CELULA TRIF 20KVAR/220,",PC,0,520.12,0.00
1271,"CAPACITOR CELULA TRIF 20KVAR/380VCA,",PC,0,308.21,0.00
1272,"CAPACITOR CELULA TRIF 25KVAR/380,",PC,1,345.46,345.46
1273,"CAPACITOR CELULA TRIF 5,0 KVAR/226",PC,1,196.54,196.54
1274,"CAPACITOR CELULA TRIF 5,0 KVAR/380",PC,0,82.08,0.00
1275,CAPACITOR DE PARTIDA,PC,0,0.00,0.00
1276,CAPACITOR DE PARTIDA 045-55MFD/330V,PC,3,24.24,72.72
1277,CAPACITOR DE PARTIDA 064-77MDF/220VCA,PC,3,12.64,37.92
1278,CAPACITOR DE PARTIDA 064-77MFD/330V,PC,5,39.31,196.55
1279,CAPACITOR DE PARTIDA 088-106MFD/220VCA,PC,3,11.86,35.58
1280,CAPACITOR DE PARTIDA 088-108MFD 110VCA,PC,5,8.82,44.10
1281,CAPACITOR DE PARTIDA 088-108MFD/330VCA,PC,0,19.07,0.00
1282,CAPACITOR DE PARTIDA 090-110MDF/330VCA,PC,0,19.98,0.00
1283,CAPACITOR DE PARTIDA 108-130MFD/220VCA,PC,3,12.47,37.41
1284,CAPACITOR DE PARTIDA 108-130MFD/330VCA,PC,5,19.74,98.70
1285,CAPACITOR DE PARTIDA 124-149MFD 110VCA,PC,5,8.48,42.40
1286,CAPACITOR DE PARTIDA 124-149MFD/220VCA,PC,9,16.10,144.90
1287,CAPACITOR DE PARTIDA 124-149MFD/330VCA,PC,10,22.49,224.90
1288,CAPACITOR DE PARTIDA 130-156MFD 110VCA,PC,5,8.54,42.70
1289,CAPACITOR DE PARTIDA 145-175MDF/330VCA,PC,3,25.20,75.60
1290,CAPACITOR DE PARTIDA 145-175MFD 110VCA,PC,5,8.77,43.85
1291,CAPACITOR DE PARTIDA 145-175MFD 220VCA,PC,8,13.34,106.72
1292,CAPACITOR DE PARTIDA 161-193MDF/110VCA,PC,5,7.04,35.20
1293,CAPACITOR DE PARTIDA 161-193MFD 110VCA,PC,4,9.11,36.44
1294,CAPACITOR DE PARTIDA 161-193MFD/330VCA,PC,6,61.08,366.48
1295,CAPACITOR DE PARTIDA 189-227MDF/110VCA,PC,12,6.77,81.24
1296,CAPACITOR DE PARTIDA 189-227MFD/110VCA,PC,18,7.70,138.60
1297,CAPACITOR DE PARTIDA 189-227MFD/250VCA,PC,27,15.30,413.10
1298,CAPACITOR DE PARTIDA 189-227MFD/330VCA,PC,0,29.40,0.00
1299,CAPACITOR DE PARTIDA 216-259MDF/110VCA,PC,7,10.39,72.73
1300,CAPACITOR DE PARTIDA 216-259MDF/110VCA,PC,0,7.72,0.00
1301,CAPACITOR DE PARTIDA 216-259MFD/220VCA,PC,7,22.74,159.18
1302,CAPACITOR DE PARTIDA 216-259MFD/330VCA,PC,5,65.72,328.60
1303,CAPACITOR DE PARTIDA 270-324MDF/110VCA,PC,2,9.83,19.66
1304,CAPACITOR DE PARTIDA 270-324MDF/110VCA,PC,14,9.52,133.28
1305,CAPACITOR DE PARTIDA 270-324MFD/220VCA,PC,1,20.38,20.38
1306,CAPACITOR DE PARTIDA 270-324MFD/330V,PC,5,30.54,152.70
1307,CAPACITOR DE PARTIDA 340-408MDF/110VCA,PC,5,11.36,56.80
1308,CAPACITOR DE PARTIDA 340-408MDF/110VCA,PC,6,11.94,71.64
1309,CAPACITOR DE PARTIDA 340-408MFD/250VCA,PC,10,38.35,383.50
1310,CAPACITOR DE PARTIDA 378-440MFD/220VCA,PC,5,28.32,141.60
1311,CAPACITOR DE PARTIDA 378-454MFD 110VCA,PC,3,14.29,42.87
1312,CAPACITOR DE PARTIDA 378-454MFD 220VCA,PC,0,26.82,0.00
1313,CAPACITOR DE PARTIDA 430-516MDF/110VCA,PC,3,14.87,44.61
1314,CAPACITOR DE PARTIDA 430-516MFD/220VCA,PC,4,34.27,137.08
1315,CAPACITOR DE PARTIDA 540-648MDF/110VCA,PC,5,15.94,79.70
1316,CAPACITOR DE PARTIDA 680-816MDF/110VCA,PC,2,23.42,46.84
1317,CAPACITOR DE PARTIDA 860-1032MDF/110VCA,PC,5,23.69,118.45
1318,CAPACITOR DE,PC,5,33.82,169.10
1319,"CAPACITOR DUPLO 01,7+1,3MFD/250 VCA",PC,14,5.17,72.38
1320,"CAPACITOR DUPLO 02,3+1,3MFD/250VCA",PC,13,3.33,43.29
1321,"CAPACITOR DUPLO 02,5+1,5MFD/250VCA",PC,19,3.90,74.10
1322,"CAPACITOR DUPLO 02,7+1,3MDF/250VCA",PC,3,5.29,15.87
1323,"CAPACITOR DUPLO 03+1,5MDF/250VCA FIO",PC,0,3.48,0.00
1324,"CAPACITOR DUPLO 05+03,5MFD/250VCA",PC,0,8.61,0.00
1325,CAPACITOR DUPLO 06+04MFD/250 VCA FIO,PC,27,6.60,178.20
1326,CAPACITOR DUPLO 07+03MFD/250VCA,PC,6,6.41,38.46
1327,CAPACITOR DUPLO 15+5MFD/380V,PC,1,20.38,20.38
1328,CAPACITOR DUPLO 15+5MFD/440V,PC,2,14.34,28.68
1329,"CAPACITOR DUPLO 17,5+2,5MFD/440V",PC,0,14.38,0.00
1330,"CAPACITOR DUPLO 17+2,0MFD/440V",PC,0,14.28,0.00
1331,CAPACITOR DUPLO 20+2MDF/380 VCA,PC,0,28.84,0.00
1332,CAPACITOR DUPLO 20+2MDF/440 VCA,PC,1,15.38,15.38
1333,CAPACITOR DUPLO 20+3MDF/440 VCA,PC,2,19.50,39.00
1334,CAPACITOR DUPLO 20+4MFD/380 VCA,PC,0,23.29,0.00
1335,CAPACITOR DUPLO 20+4MFD/440VCA,PC,2,15.90,31.80
1336,CAPACITOR DUPLO 20+5MFD/380VCA,PC,0,24.18,0.00
1337,CAPACITOR DUPLO 20+5MFD/440VCA,PC,0,14.99,0.00
1338,CAPACITOR DUPLO 22+5MFD/380V,PC,0,12.23,0.00
1339,CAPACITOR DUPLO 22+5MFD/440 VCA,PC,3,13.99,41.97
1340,"CAPACITOR DUPLO 25+1,5MFD/440V",PC,0,15.48,0.00
1341,"CAPACITOR DUPLO 25+2,5MFD/400V",PC,0,29.28,0.00
1342,"CAPACITOR DUPLO 25+2,5MFD/440 VCA",PC,2,15.54,31.08
1343,CAPACITOR DUPLO 25+2MFD/400V,PC,0,25.74,0.00
1344,CAPACITOR DUPLO 25+2MFD/440V,PC,5,15.54,77.70
1345,CAPACITOR DUPLO 25+3MFD/380V,PC,3,21.42,64.26
1346,CAPACITOR DUPLO 25+4MDF/380 VCA,PC,0,14.57,0.00
1347,CAPACITOR DUPLO 25+4MDF/440 VCA,PC,0,24.26,0.00
1348,CAPACITOR DUPLO 25+5MDF/380 VCA,PC,6,23.29,139.74
1349,CAPACITOR DUPLO 25+5MDF/440VCA,PC,1,16.20,16.20
1350,CAPACITOR DUPLO 30+10MFD/380V FASTON,PC,0,15.30,0.00
1351,CAPACITOR DUPLO 30+2MFD/440V FASTON,PC,3,15.84,47.52
1352,CAPACITOR DUPLO 30+3MFD/380V FASTON,PC,0,15.89,0.00
1353,CAPACITOR DUPLO 30+4MDF/440 VCA FASTON,PC,2,15.96,31.92
1354,CAPACITOR DUPLO 30+4MFD/380V FASTON,PC,0,24.28,0.00
1355,CAPACITOR DUPLO 30+5MFD/380V FASTON,PC,0,13.91,0.00
1356,CAPACITOR DUPLO 30+5MFD/440VCA,PC,3,16.04,48.12
1357,CAPACITOR DUPLO 30+6MFD/440V FASTON,PC,0,17.16,0.00
1358,CAPACITOR DUPLO 35+10MFD/440V FASTON,PC,2,17.38,34.76
1359,CAPACITOR DUPLO 35+15MDF/380 VCA,PC,0,22.06,0.00
1360,CAPACITOR DUPLO 35+3MFD/380V FASTON,PC,0,17.17,0.00
1361,CAPACITOR DUPLO 35+3MFD/440VCA,PC,3,17.17,51.51
1362,CAPACITOR DUPLO 35+4MFD/440V FASTON,PC,0,14.37,0.00
1363,CAPACITOR DUPLO 35+5MDF/440 VCA FASTON,PC,5,17.28,86.40
1364,CAPACITOR DUPLO 35+6MDF/440 VCA FASTON,PC,0,17.84,0.00
1365,CAPACITOR DUPLO 35+8MFD/380VCA FASTON,PC,0,17.05,0.00
1366,"CAPACITOR DUPLO 40+1,5MDF/440 VCA",PC,3,19.36,58.08
1367,CAPACITOR DUPLO 40+10MDF/440 VCA,PC,0,23.04,0.00
1368,CAPACITOR DUPLO 40+10MFD/380V FASTON,PC,0,16.12,0.00
1369,"CAPACITOR DUPLO 40+2,5MFD/440V",PC,4,23.98,95.92
1370,CAPACITOR DUPLO 40+4MDF/440VCA FASTON,PC,0,24.60,0.00
1371,CAPACITOR DUPLO 40+5MDF/440 VCA FASTON,PC,3,21.54,64.62
1372,CAPACITOR DUPLO 40+6MFD/440 VCA FASTON,PC,2,18.18,36.36
1373,"CAPACITOR DUPLO 40+7,5MDF/440 VCA",PC,0,18.20,0.00
1374,CAPACITOR DUPLO 40+8MDF/440VCA FASTON,PC,0,23.26,0.00
1375,CAPACITOR DUPLO 45+10MFD/440V FASTON,PC,0,20.96,0.00
1376,CAPACITOR DUPLO 45+4MFD/380V FASTON,PC,0,16.18,0.00
1377,CAPACITOR DUPLO 45+5MFD/450 VCA FASTON,PC,3,18.98,56.94
1378,CAPACITOR DUPLO 45+6MDF/380 VCA FASTON,PC,0,15.61,0.00
1379,CAPACITOR DUPLO 45+6MFD/440V FASTON,PC,0,23.98,0.00
1380,CAPACITOR DUPLO 45+8MFD/440V FASTON,PC,2,25.04,50.08
1381,"CAPACITOR DUPLO 50+2,5MFD/450 VCA",PC,4,24.60,98.40
1382,CAPACITOR DUPLO 50+2MFD/450 VCA FASTON,PC,3,23.80,71.40
1383,CAPACITOR DUPLO 50+4MFD/440V FASTON,PC,2,20.71,41.42
1384,CAPACITOR DUPLO 50+5MFD/440V FASTON,PC,2,27.40,54.80
1385,CAPACITOR DUPLO 50+6MDF/440 VCA FASTON,PC,9,25.60,230.40
1386,"CAPACITOR DUPLO 50+7,5MDF/440 VCA",PC,6,26.28,157.68
1387,CAPACITOR DUPLO 50+8MFD/440V FASTON,PC,0,28.02,0.00
1388,"CAPACITOR DUPLO 55+2,5MFD/440V FASTON",PC,0,25.08,0.00
1389,CAPACITOR DUPLO 55+5MFD/440V FASTON,PC,0,21.33,0.00
1390,CAPACITOR DUPLO 55+6MFD/440V FASTON,PC,0,27.54,0.00
1391,CAPACITOR DUPLO 60+10MDF/380 VCA,PC,0,33.60,0.00
1392,CAPACITOR DUPLO 60+10MFD/440 VCA,PC,0,30.12,0.00
1393,"CAPACITOR DUPLO 60+2,5MFD/450VCA",PC,0,24.20,0.00
1394,CAPACITOR DUPLO 60+5MFD/440V FASTON,PC,5,29.36,146.80
1395,CAPACITOR DUPLO 60+6MFD/440V FASTON,PC,0,29.82,0.00
1396,CAPACITOR DUPLO 70+5MFD/380V FASTON,PC,0,16.42,0.00
1397,"Capacitor EPCA  2,2nFD OU 2200PF/250VAC",PC,0,4.50,0.00
1398,Capacitor FP,PC,0,0.00,0.00
1399,"CAPACITOR MICRO-ONDAS 0,70MFD/2100V",PC,4,13.68,54.72
1400,"CAPACITOR MICRO-ONDAS 0,75MFD/2100V",PC,9,13.68,123.12
1401,"CAPACITOR MICRO-ONDAS 0,80MFD/2100V",PC,22,14.04,308.88
1402,"CAPACITOR MICRO-ONDAS 0,85MFD/2100V",PC,1,14.04,14.04
1403,"CAPACITOR MICRO-ONDAS 0,90MFD/2100V",PC,3,14.38,43.14
1404,"CAPACITOR MICRO-ONDAS 0,92MFD/2100V",PC,5,14.04,70.20
1405,"CAPACITOR MICRO-ONDAS 0,95MFD/2100V",PC,5,14.04,70.20
1406,CAPACITOR MICRO-ONDAS 1MFD/2100V,PC,5,15.42,77.10
1407,"CAPACITOR PERMANENTE 0,15MFD/250VAC",PC,0,4.50,0.00
1408,CAPACITOR PERMANENTE,PC,0,0.72,0.00
1409,"CAPACITOR PERMANENTE 01,0MFD/250VCA",PC,9,2.34,21.06
1410,"CAPACITOR PERMANENTE 01,0MFD/400VCA",PC,0,3.04,0.00
1411,"CAPACITOR PERMANENTE 01,0MFD/450 VCA",PC,0,2.28,0.00
1412,"CAPACITOR PERMANENTE 01,25MFD/450 VCA",PC,0,2.46,0.00
1413,"CAPACITOR PERMANENTE 01,5MFD/250VCA",PC,4,2.34,9.36
1414,"CAPACITOR PERMANENTE 01,5MFD/450 VCA",PC,32,3.06,97.92
1415,"CAPACITOR PERMANENTE 01,5MFD/450VCA",PC,9,2.93,26.37
1416,"CAPACITOR PERMANENTE 01,5MFD/660VCA",PC,3,5.45,16.35
1417,"CAPACITOR PERMANENTE 02,0MFD/250VCA",PC,22,2.33,51.26
1418,"CAPACITOR PERMANENTE 02,0MFD/400VCA",PC,0,3.44,0.00
1419,"CAPACITOR PERMANENTE 02,0MFD/440VCA",PC,8,6.56,52.48
1420,"CAPACITOR PERMANENTE 02,0MFD/450 VCA",PC,0,3.00,0.00
1421,"CAPACITOR PERMANENTE 02,0MFD/660VCA",PC,3,7.60,22.80
1422,"CAPACITOR PERMANENTE 02,5MDF/450 VCA",PC,0,3.30,0.00
1423,"CAPACITOR PERMANENTE 02,5MFD/250VCA",PC,8,3.67,29.36
1424,CAPACITOR PERMANENTE,PC,0,7.63,0.00
1425,CAPACITOR PERMANENTE,PC,6,3.82,22.92
1426,"CAPACITOR PERMANENTE 03,0MFD/250VCA",PC,20,2.69,53.80
1427,CAPACITOR PERMANENTE,PC,4,5.58,22.32
1428,CAPACITOR PERMANENTE,PC,4,4.32,17.28
1429,"CAPACITOR PERMANENTE 03,0MFD/440VCA",PC,4,5.37,21.48
1430,"CAPACITOR PERMANENTE 03,0MFD/450 VCA",PC,0,3.60,0.00
1431,"CAPACITOR PERMANENTE 03,5MFD/250VCA",PC,21,2.94,61.74
1432,"CAPACITOR PERMANENTE 03,5MFD/450 VCA",PC,0,3.72,0.00
1433,"CAPACITOR PERMANENTE 04,0MFD/250VCA",PC,10,3.12,31.20
1434,CAPACITOR PERMANENTE,PC,9,4.84,43.56
1435,CAPACITOR PERMANENTE,PC,32,3.61,115.52
1436,"CAPACITOR PERMANENTE 04,0MFD/440VCA",PC,10,6.71,67.10
1437,"CAPACITOR PERMANENTE 04,0MFD/450 VCA",PC,0,3.84,0.00
1438,"CAPACITOR PERMANENTE 04,5MFD/450VCA",PC,0,4.08,0.00
1439,"CAPACITOR PERMANENTE 05,0MFD/250VCA",PC,5,3.24,16.20
1440,CAPACITOR PERMANENTE,PC,21,4.31,90.51
1441,CAPACITOR PERMANENTE,PC,10,5.93,59.30
1442,CAPACITOR PERMANENTE,PC,4,6.30,25.20
1443,"CAPACITOR PERMANENTE 05,0MFD/450 VCA",PC,0,4.32,0.00
1444,"CAPACITOR PERMANENTE 05,0MFD/660VCA",PC,0,12.66,0.00
1445,"CAPACITOR PERMANENTE 06,0MFD/250VCA",PC,20,3.53,70.60
1446,CAPACITOR PERMANENTE,PC,10,5.59,55.90
1447,CAPACITOR PERMANENTE,PC,3,4.75,14.25
1448,"CAPACITOR PERMANENTE 06,0MFD/440VCA",PC,0,5.04,0.00
1449,"CAPACITOR PERMANENTE 06,0MFD/440VCA",PC,0,4.25,0.00
1450,"CAPACITOR PERMANENTE 06,0MFD/450VCA",PC,0,4.56,0.00
1451,"CAPACITOR PERMANENTE 06,0MFD/660V",PC,0,12.55,0.00
1452,"CAPACITOR PERMANENTE 07,0MFD/250VCA",PC,20,3.35,67.00
1453,CAPACITOR PERMANENTE,PC,5,8.80,44.00
1454,"CAPACITOR PERMANENTE 07,0MFD/440VCA",PC,0,6.03,0.00
1455,"CAPACITOR PERMANENTE 07,0MFD/450 VCA",PC,0,4.74,0.00
1456,"CAPACITOR PERMANENTE 07,5MFD/660VCA",PC,0,15.24,0.00
1457,"CAPACITOR PERMANENTE 08,0MFD/250VCA",PC,0,6.62,0.00
1458,"CAPACITOR PERMANENTE 08,0MFD/250VCA",PC,22,3.59,78.98
1459,"CAPACITOR PERMANENTE 08,0MFD/440VCA",PC,11,9.20,101.20
1460,"CAPACITOR PERMANENTE 08,0MFD/450VCA",PC,0,5.28,0.00
1461,"CAPACITOR PERMANENTE 08,5MFD/250VCA",PC,14,3.78,52.92
1462,"CAPACITOR PERMANENTE 09,0MFD/400VCA",PC,0,9.96,0.00
1463,"CAPACITOR PERMANENTE 10,0MFD/250VCA",PC,4,6.50,26.00
1464,"CAPACITOR PERMANENTE 10,0MFD/250VCA",PC,28,6.50,182.00
1465,CAPACITOR PERMANENTE,PC,22,5.75,126.50
1466,CAPACITOR PERMANENTE,PC,9,6.34,57.06
1467,"CAPACITOR PERMANENTE 10,0MFD/440VCA",PC,8,7.14,57.12
1468,"CAPACITOR PERMANENTE 10,0MFD/450 VCA",PC,0,5.50,0.00
1469,"CAPACITOR PERMANENTE 10,0MFD/660VCA",PC,5,23.38,116.90
1470,"CAPACITOR PERMANENTE 12,0MFD/250VCA",PC,5,3.48,17.40
1471,CAPACITOR PERMANENTE,PC,5,8.86,44.30
1472,"CAPACITOR PERMANENTE 12,0MFD/380VCA",PC,0,7.91,0.00
1473,"CAPACITOR PERMANENTE 12,0MFD/440VCA",PC,2,8.22,16.44
1474,"CAPACITOR PERMANENTE 15,0MFD/250VCA",PC,0,8.16,0.00
1475,"CAPACITOR PERMANENTE 15,0MFD/250VCA",PC,0,7.83,0.00
1476,"CAPACITOR PERMANENTE 15,0MFD/250VCA",PC,1,4.12,4.12
1477,CAPACITOR PERMANENTE,PC,2,8.87,17.74
1478,"CAPACITOR PERMANENTE 15,0MFD/380VCA",PC,0,7.33,0.00
1479,"CAPACITOR PERMANENTE 15,0MFD/440VCA",PC,3,10.87,32.61
1480,"CAPACITOR PERMANENTE 16,0MFD/250VCA",PC,3,4.76,14.28
1481,"CAPACITOR PERMANENTE 16,0MFD/440VCA",PC,0,7.16,0.00
1482,"CAPACITOR PERMANENTE 18,0MFD/250VCA",PC,9,4.33,38.97
1483,CAPACITOR PERMANENTE,PC,1,7.67,7.67
1484,"CAPACITOR PERMANENTE 20,0MFD/250VCA",PC,0,13.43,0.00
1485,"CAPACITOR PERMANENTE 20,0MFD/250VCA",PC,4,5.93,23.72
1486,CAPACITOR PERMANENTE,PC,5,8.34,41.70
1487,"CAPACITOR PERMANENTE 20,0MFD/380VCA",PC,0,7.98,0.00
1488,"CAPACITOR PERMANENTE 20,0MFD/440VCA",PC,6,11.51,69.06
1489,"CAPACITOR PERMANENTE 22,0MFD/250VCA",PC,2,6.08,12.16
1490,"CAPACITOR PERMANENTE 25,0MFD/250VCA",PC,1,9.55,9.55
1491,"CAPACITOR PERMANENTE 25,0MFD/250VCA",PC,2,5.23,10.46
1492,"CAPACITOR PERMANENTE 25,0MFD/380VCA",PC,0,9.19,0.00
1493,"CAPACITOR PERMANENTE 25,0MFD/400VCA",PC,12,8.66,103.92
1494,"CAPACITOR PERMANENTE 25,0MFD/440VCA",PC,11,13.93,153.23
1495,"CAPACITOR PERMANENTE 25,0MFD/440VCA",PC,10,29.64,296.40
1496,"CAPACITOR PERMANENTE 26,0MFD/660VCA",PC,0,49.50,0.00
1497,"CAPACITOR PERMANENTE 30,0MFD/250VCA",PC,11,8.39,92.29
1498,"CAPACITOR PERMANENTE 30,0MFD/250VCA",PC,1,5.38,5.38
1499,"CAPACITOR PERMANENTE 30,0MFD/400VCA",PC,7,10.50,73.50
1500,"CAPACITOR PERMANENTE 30,0MFD/400VCA",PC,0,25.80,0.00
1501,"CAPACITOR PERMANENTE 30,0MFD/440VCA",PC,6,13.32,79.92
1502,"CAPACITOR PERMANENTE 35,0MFD/250VCA",PC,10,9.07,90.70
1503,"CAPACITOR PERMANENTE 35,0MFD/250VCA",PC,21,6.62,139.02
1504,CAPACITOR PERMANENTE,PC,3,14.42,43.26
1505,"CAPACITOR PERMANENTE 35,0MFD/440VCA",PC,8,15.30,122.40
1506,"CAPACITOR PERMANENTE 40,0MFD/250 VCA",PC,21,7.16,150.36
1507,"CAPACITOR PERMANENTE 40,0MFD/250VCA",PC,-8,13.20,-105.60
1508,CAPACITOR PERMANENTE,PC,2,12.42,24.84
1509,"CAPACITOR PERMANENTE 40,0MFD/440VCA",PC,7,16.74,117.18
1510,"CAPACITOR PERMANENTE 45,0MFD/250VCA",PC,13,14.30,185.90
1511,"CAPACITOR PERMANENTE 45,0MFD/250VCA",PC,5,8.38,41.90
1512,CAPACITOR PERMANENTE,PC,4,16.28,65.12
1513,"CAPACITOR PERMANENTE 45,0MFD/380VCA",PC,0,15.61,0.00
1514,CAPACITOR PERMANENTE,PC,7,20.27,141.89
1515,"CAPACITOR PERMANENTE 50,0MFD/250 FIO",PC,21,9.50,199.50
1516,"CAPACITOR PERMANENTE 50,0MFD/250VCA",PC,3,11.80,35.40
1517,CAPACITOR PERMANENTE,PC,5,16.75,83.75
1518,"CAPACITOR PERMANENTE 50,0MFD/440VCA",PC,8,20.34,162.72
1519,"CAPACITOR PERMANENTE 55,0MFD/250VCA",PC,6,16.44,98.64
1520,"CAPACITOR PERMANENTE 55,0MFD/440VCA",PC,2,26.04,52.08
1521,"CAPACITOR PERMANENTE 60,0MDF/400VCA",PC,0,23.81,0.00
1522,"CAPACITOR PERMANENTE 60,0MFD/250VCA",PC,9,16.51,148.59
1523,"CAPACITOR PERMANENTE 60,0MFD/250VCA",PC,2,11.42,22.84
1524,"CAPACITOR PERMANENTE 60,0MFD/440VCA",PC,2,23.96,47.92
1525,"CAPACITOR PERMANENTE 70,0MFD/250VCA",PC,3,18.01,54.03
1526,"CAPACITOR PERMANENTE 70,0MFD/400VCA",PC,10,37.12,371.20
1527,"CAPACITOR PERMANENTE 75,0MFD/250VCA",PC,3,19.94,59.82
1528,"CAPACITOR PERMANENTE 80,0MFD/250VCA",PC,7,22.11,154.77
1529,"CAPACITOR PERMANENTE 80,0MFD/400",PC,2,35.83,71.66
1530,"CAPACITOR PERMANENTE 80,0MFD/400VCA",PC,10,24.48,244.80
1531,"CAPACITOR PERMANENTE, 100,0MFD/250VCA",PC,4,28.49,113.96
1532,"CAPACITOR PERMANENTE,120,0MFD/250VCA",PC,0,34.46,0.00
1533,CAPACITOR POLIESTER 104 100K 400V,PC,0,4.56,0.00
1534,CAPACITOR POLIESTER 104 100K 630V,PC,0,5.76,0.00
1535,CAPACITOR POLIESTER 47K 1600V,PC,0,21.60,0.00
1536,"CAPACITOR PPM 1,5MFD/450V",PC,0,45.60,0.00
1537,CAPACITOR VCC,PC,0,3.73,0.00
1538,"CAPACITOR VCC 00000,047MFD/1600VDC",PC,0,8.40,0.00
1539,"CAPACITOR VCC 00002,2MFD/250DC",PC,0,1.19,0.00
1540,"CAPACITOR VCC 00002,2MFD/250V POLIESTER",PC,0,4.90,0.00
1541,"CAPACITOR VCC 00006,8MFD/250V AXIAL",PC,0,2.39,0.00
1542,CAPACITOR VCC 00015MFD/900VDC,PC,0,24.50,0.00
1543,CAPACITOR VCC 00047MFD/63VDC,PC,0,0.30,0.00
1544,CAPACITOR VCC 00060MFD/250VDC,PC,0,7.73,0.00
1545,CAPACITOR VCC 00068MFD/400VDC SOLDA,PC,0,3.61,0.00
1546,CAPACITOR VCC 00100MFD/250VDC,PC,0,1.94,0.00
1547,CAPACITOR VCC 00100MFD/400VDC,PC,0,3.50,0.00
1548,CAPACITOR VCC 00100MFD/450VDC,PC,0,4.88,0.00
1549,CAPACITOR VCC 00150MFD/450VDC,PC,0,9.32,0.00
1550,CAPACITOR VCC 00150PFD/ POLIESTER,PC,0,0.50,0.00
1551,CAPACITOR VCC 00220MFD/100VCC,PC,0,4.80,0.00
1552,CAPACITOR VCC 00220MFD/250VDC,PC,0,3.70,0.00
1553,CAPACITOR VCC 00220MFD/400VDC,PC,0,6.35,0.00
1554,CAPACITOR VCC 00330MFD/100VDC,PC,0,1.51,0.00
1555,CAPACITOR VCC 00330MFD/100VDC,PC,0,4.56,0.00
1556,CAPACITOR VCC 00330MFD/160VDC,PC,0,4.46,0.00
1557,CAPACITOR VCC 00330MFD/200VDC,PC,0,3.92,0.00
1558,CAPACITOR VCC 00330MFD/250VDC,PC,0,4.33,0.00
1559,CAPACITOR VCC 00470MFD/200VDC,PC,0,4.85,0.00
1560,CAPACITOR VCC 00470MFD/250VDC,PC,0,73.00,0.00
1561,CAPACITOR VCC 00470MFD/400VCC SOLDA,PC,0,12.05,0.00
1562,CAPACITOR VCC 00470MFD/450VCC SOLDA,PC,0,14.11,0.00
1563,CAPACITOR VCC 00560MFD/400VDC AL 50MM,PC,0,18.31,0.00
1564,CAPACITOR VCC 00680MDF/200VDC,PC,0,12.00,0.00
1565,CAPACITOR VCC 00680UF/250VDC,PC,0,8.00,0.00
1566,CAPACITOR VCC 01000MDF/350VDC,PC,4,70.01,280.04
1567,CAPACITOR VCC 01000MFD/200VDC,PC,0,15.00,0.00
1568,CAPACITOR VCC 01000MFD/250VDC,PC,3,16.20,48.60
1569,CAPACITOR VCC 01000MFD/250VDC,PC,0,30.78,0.00
1570,CAPACITOR VCC 01000MFD/50VDC,PC,0,1.25,0.00
1571,CAPACITOR VCC 01000MFD/63VDC,PC,0,1.44,0.00
1572,CAPACITOR VCC 01100MFD/75VDC,PC,0,25.00,0.00
1573,CAPACITOR VCC 01500MFD/35VCC,PC,0,3.20,0.00
1574,CAPACITOR VCC 02200MFD/100VDC,PC,0,11.26,0.00
1575,CAPACITOR VCC 02200MFD/16VDC,PC,0,0.73,0.00
1576,CAPACITOR VCC 02200MFD/450VDC,PC,0,147.30,0.00
